date,location,administered_janssen,administered_moderna,administered_pfizer,administered_unk_manuf,series_complete_pop_pct
2021-11-24T00:00:00.000,IH2,35712,901953,913733,168,37.7
2021-11-24T00:00:00.000,KY,208821,2225113,2911012,1904,51.9
2021-11-24T00:00:00.000,NV,167013,1372661,2368813,509,54.2
2021-11-24T00:00:00.000,MO,224810,2650156,4452053,2303,50.8
2021-11-24T00:00:00.000,WA,435747,4240192,6543562,8502,64.8
2021-11-24T00:00:00.000,UT,160394,1443141,2397385,294,55.2
2021-11-24T00:00:00.000,SC,202024,2379119,3535780,1884,51.2
2021-11-24T00:00:00.000,MP,933,10162,67280,0,68
2021-11-24T00:00:00.000,PR,139971,2092489,3102625,504,73.9
2021-11-24T00:00:00.000,MT,53654,557280,697515,1511,51.7
2021-11-24T00:00:00.000,TN,233038,3095485,4713209,39678,49.4
2021-11-24T00:00:00.000,IL,605491,6402962,10572179,23933,61.4
2021-11-24T00:00:00.000,NJ,489768,5108657,7702067,626,67.5
2021-11-24T00:00:00.000,OR,246007,2285480,3584923,6077,63.8
2021-11-24T00:00:00.000,VA,444019,4632976,7798920,7206,64.6
2021-11-24T00:00:00.000,AL,153163,2287438,2750164,270,46
2021-11-24T00:00:00.000,OH,551249,5471350,8151823,17859,52.8
2021-11-24T00:00:00.000,NC,455721,4994932,7926612,863,54
2021-11-24T00:00:00.000,GU,10821,87477,173983,44,73.2
2021-11-24T00:00:00.000,PA,655703,7077762,10296639,1344,58
2021-11-24T00:00:00.000,CA,2059881,22222441,34417531,15147,62.8
2021-11-24T00:00:00.000,RP,2334,26800,4700,0,73.3
2021-11-24T00:00:00.000,DD2,292018,2215422,4018799,20326,0
2021-11-24T00:00:00.000,KS,119494,1419726,2102602,3017,54.4
2021-11-24T00:00:00.000,MD,327439,3454202,5534124,13807,67.2
2021-11-24T00:00:00.000,AS,547,18682,48323,1,66.2
2021-11-24T00:00:00.000,IA,159721,1660636,2309859,411,56.5
2021-11-24T00:00:00.000,MI,408108,4945413,7198823,1905,54.4
2021-11-24T00:00:00.000,MH,2291,40506,2273,2,28
2021-11-24T00:00:00.000,MS,80171,1302752,1794154,2005,46.9
2021-11-24T00:00:00.000,VI,1815,34579,82201,0,48.8
2021-11-24T00:00:00.000,VA2,231882,3267482,2958431,281,0
2021-11-24T00:00:00.000,CT,223022,2197775,3476067,1183,71.7
2021-11-24T00:00:00.000,BP2,13114,106299,136952,31,0
2021-11-24T00:00:00.000,DE,53692,534535,797314,1671,60.9
2021-11-24T00:00:00.000,AK,39005,369352,536929,745,54
2021-11-24T00:00:00.000,SD,35897,451997,647114,132,54.3
2021-11-24T00:00:00.000,RI,58362,651725,1003413,1153,72.2
2021-11-24T00:00:00.000,CO,303987,3329231,4848310,6650,62.9
2021-11-24T00:00:00.000,WY,26316,276010,320932,568,45.3
2021-11-24T00:00:00.000,AR,107221,1496068,1868409,3263,49.1
2021-11-24T00:00:00.000,NY,1233544,10842667,17389889,11591,68.2
2021-11-24T00:00:00.000,MN,325276,2992954,4788576,2511,62.2
2021-11-24T00:00:00.000,DC,32830,423625,697548,469,64.1
2021-11-24T00:00:00.000,NH,101466,802048,1212550,60,64.6
2021-11-24T00:00:00.000,ND,35296,352122,498444,305,48.6
2021-11-24T00:00:00.000,IN,276258,2826419,4587321,26328,50.5
2021-11-24T00:00:00.000,ME,129323,891794,1175587,2064,72.1
2021-11-24T00:00:00.000,ID,74500,757391,1026166,2601,45.1
2021-11-24T00:00:00.000,NE,84811,940220,1527190,5253,57.2
2021-11-24T00:00:00.000,FM,12255,65148,1998,0,41.2
2021-11-24T00:00:00.000,MA,363187,4416230,6635208,423,70.8
2021-11-24T00:00:00.000,OK,134535,1962785,2724067,1001,51.3
2021-11-24T00:00:00.000,HI,54808,664470,1256668,94062,60.7
2021-11-24T00:00:00.000,WI,300696,3115321,4662566,1486,59.3
2021-11-24T00:00:00.000,LA,174590,2127733,2857104,2678,48.7
2021-11-24T00:00:00.000,WV,44323,765950,879051,474,41.5
2021-11-24T00:00:00.000,TX,1360009,13904075,21595455,2895,54.5
2021-11-24T00:00:00.000,VT,48583,436222,615934,868,72.7
2021-11-24T00:00:00.000,FL,1312096,11405041,17673131,111439,61
2021-11-24T00:00:00.000,AZ,319934,3785007,5334928,18382,54.4
2021-11-24T00:00:00.000,NM,103488,1268538,1712803,6493,63.3
2021-11-24T00:00:00.000,GA,299103,4869508,7004514,12638,49.4
2021-11-23T00:00:00.000,MI,406871,4920505,7173108,1904,54.4
2021-11-23T00:00:00.000,LA,174066,2120515,2848755,2666,48.6
2021-11-23T00:00:00.000,NJ,488156,5087139,7674583,618,67.5
